"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast","FC"
"Arhgap11a",7.02914214020103,6.32192599215811,93.5387085012785,2.27706969585197e-08,0.000126008538862973,8.06363319894436,"PSVZbyQSVZ",130.611864163599
"Mycn",8.19170475186184,6.68081487665208,92.9109335169816,2.34489023238842e-08,0.000126008538862973,8.05737390713547,"PSVZbyQSVZ",292.380797218743
"Melk",6.23457642932652,5.70225071538442,87.7757322267971,3.00425968436528e-08,0.000129153123830863,8.00167838684913,"PSVZbyQSVZ",75.2999201193416
"Cdc20",4.98672979088033,5.07832739616132,64.9390196607124,1.11680469844318e-07,0.00032132818121655,7.60815965886827,"PSVZbyQSVZ",31.7070069142723
"Mthfd1l",4.81196971679608,5.06507816623134,59.7954049195858,1.59988800735882e-07,0.00032132818121655,7.46695447460379,"PSVZbyQSVZ",28.0897078941955
"Cdc7",5.67581806583294,5.64526395497407,59.3272903857347,1.65560534966745e-07,0.00032132818121655,7.45267185598996,"PSVZbyQSVZ",51.1200756389472
"Ncapg2",5.76586103071195,5.69028543741357,59.0290118487146,1.69235427249451e-07,0.00032132818121655,7.44343423785494,"PSVZbyQSVZ",54.412304662742
"Timeless",7.74646962758861,6.37051917923753,57.7909086261925,1.85604280525049e-07,0.00032132818121655,7.40391330726648,"PSVZbyQSVZ",214.743347318114
"Ccnb1",6.24772884570898,5.70882692357565,56.9234920616918,1.98241115791788e-07,0.00032132818121655,7.37504859716364,"PSVZbyQSVZ",75.9895350660703
"Ube2c",10.192864454248,8.08326045410966,51.2205098175299,3.1393969545234e-07,0.00037864510676806,7.15766143907547,"PSVZbyQSVZ",1170.4636815412
"3010003L21Rik",7.45594866901113,6.45128266831967,51.173573616729,3.15195360518354e-07,0.00037864510676806,7.15564953091258,"PSVZbyQSVZ",175.575613860374
"Cenpf",6.98880205831468,6.0793635298785,51.1482903470449,3.15874311607558e-07,0.00037864510676806,7.15456410645025,"PSVZbyQSVZ",127.010332601032
"2810004I08Rik",4.55746623789718,4.86369561966975,51.1035953045696,3.17078944955808e-07,0.00037864510676806,7.15264246851507,"PSVZbyQSVZ",23.5469163961196
"Spc24",6.14281285908314,5.87876135159917,48.8962270293295,3.84287391934365e-07,0.000434750394191009,7.05300902280552,"PSVZbyQSVZ",70.6595599344131
"Ckap2",6.5584196809017,5.93830314828416,42.4101144052707,7.13943152742682e-07,0.000713045014540011,6.69701449006515,"PSVZbyQSVZ",94.2499325563973
"Pbk",8.80651977941605,7.20069903063428,42.1965855275484,7.2979717701234e-07,0.000713045014540011,6.68340264781654,"PSVZbyQSVZ",447.740738255762
"Casc5",7.34018267455858,6.25505383800045,40.5266827346215,8.69960801390649e-07,0.000813035105473566,6.57208136512931,"PSVZbyQSVZ",162.037359957381
"Nptx2",6.21912471736666,7.03736487274117,39.6304400165765,9.58848388127286e-07,0.000846423405831752,6.50857196675146,"PSVZbyQSVZ",74.4977380659236
"Ung",8.2794369910493,6.79881180335795,37.7676479593851,1.18220757385202e-06,0.000944787248128136,6.36738076676682,"PSVZbyQSVZ",310.712611746223
"Cntrob",3.13139882057144,4.6774961951837,37.5866571504032,1.20716505399938e-06,0.000944787248128136,6.35296042957514,"PSVZbyQSVZ",8.76284184342176
"Xrn2",1.94782310935543,8.82232888427644,37.4200980952514,1.23070681310015e-06,0.000944787248128136,6.33957501031322,"PSVZbyQSVZ",3.85791968497535
"Tubb5",4.7873001224759,10.2093842960249,36.954779108179,1.29953049183404e-06,0.000963220962826642,6.30158627313299,"PSVZbyQSVZ",27.6134668311216
"Bub1",6.05175034452046,5.61083767298139,33.9857646092641,1.87033423665717e-06,0.00122059076521762,6.03696579080512,"PSVZbyQSVZ",66.3373899198442
"Kif11",7.7457563161,6.6802330801076,33.9708717266975,1.87390068630758e-06,0.00122059076521762,6.03553418987986,"PSVZbyQSVZ",214.637198041563
"D17H6S56E-5",4.90517927355173,5.03755213749703,33.12265993778,2.09156883272054e-06,0.00126099001391964,5.95213476882654,"PSVZbyQSVZ",29.9644351558839
"Gm10052",3.08870609195884,11.9785790312063,33.0489502752538,2.11191628290798e-06,0.00126099001391964,5.94471076041041,"PSVZbyQSVZ",8.50732808070249
"Baz1a",5.44607301836872,5.30799900990552,32.436556687777,2.29072668918606e-06,0.00133078838335282,5.88190126312733,"PSVZbyQSVZ",43.5944634764145
"Hmmr",6.05659626123458,5.61326063133845,32.113499813829,2.39254933280813e-06,0.00134630407221239,5.84793644640368,"PSVZbyQSVZ",66.5605874446254
"Aurkb",5.59502650726534,5.38247575435383,31.9459181819979,2.44755841701381e-06,0.00134630407221239,5.8300859521216,"PSVZbyQSVZ",48.3360108284646
"Marcks",3.60002916741959,10.4310887182332,31.7748179189797,2.50533439816216e-06,0.00134630407221239,5.81169493112097,"PSVZbyQSVZ",12.1259776843113
"Mcm2",6.97023699616364,6.21834261302727,31.4777200078537,2.6096925464392e-06,0.00136817905574904,5.77935725197009,"PSVZbyQSVZ",125.386394026421
"Ncapg",7.1802278641501,7.28021016206228,30.3241936787651,3.06912454540873e-06,0.0015384080709045,5.64876301438367,"PSVZbyQSVZ",145.032042361857
"Lig1",6.73222515782087,6.35294080589608,30.275926172475,3.09043049920204e-06,0.0015384080709045,5.64311774044191,"PSVZbyQSVZ",106.316754379911
"Hnrnpab",3.21678860913537,10.9146634310405,30.1338988681541,3.15418586087663e-06,0.0015384080709045,5.62641963989774,"PSVZbyQSVZ",9.29715049552988
"Cd24a",7.66635181063654,6.8066268571233,28.5905050096679,3.96298998557706e-06,0.00177467645291623,5.43625324929046,"PSVZbyQSVZ",203.142995567591
"Myt1",7.22510351519774,6.41990667965647,27.496400061975,4.6942598617442e-06,0.00197849246525866,5.29111831409843,"PSVZbyQSVZ",149.614222440814
"Cdk4",5.6163478580906,8.7659098363345,26.5305208922579,5.48203717406788e-06,0.00224196942184058,5.15522378383166,"PSVZbyQSVZ",49.0556654485406
"Ccna2",8.09491708320744,6.63242104232488,26.0515735800052,5.93275903084192e-06,0.00232038358594601,5.08496100492323,"PSVZbyQSVZ",273.409030223574
"Mta2",4.99698777987224,5.7741277321289,26.0470326861425,5.93724574212749e-06,0.00232038358594601,5.08428537810023,"PSVZbyQSVZ",31.9332565210572
"Mcm6",7.42698120957215,6.29845310550724,25.5437080590997,6.46147782899744e-06,0.00243665729709298,5.00826682456594,"PSVZbyQSVZ",172.085437904633
"Dlx1",8.09562835396853,6.91938412502267,25.2077623035488,6.84320077302627e-06,0.00253611380372758,4.95625381162056,"PSVZbyQSVZ",273.543858298252
"Uhrf1",7.85523616386555,6.51258058265393,24.6454774506919,7.54614868008638e-06,0.00267891169206043,4.86683051368309,"PSVZbyQSVZ",231.559022912671
"Dhfr",6.03685629448822,6.17520145883746,24.6032802254634,7.60240117309544e-06,0.00267891169206043,4.85999711826339,"PSVZbyQSVZ",65.6560610366467
"2810417H13Rik",7.60973642958246,6.38983071551239,24.2283736775203,8.12549485702066e-06,0.00279783195133084,4.7985140195647,"PSVZbyQSVZ",195.325490869253
"Mdc1",5.88210891524442,6.29561934939467,23.0615628923556,1.00624218507647e-05,0.00329807429386057,4.59790389575769,"PSVZbyQSVZ",58.9781602632567
"Ncaph2",3.44074541829461,4.44368104296141,23.027688437644,1.01266761290904e-05,0.00329807429386057,4.59186136542323,"PSVZbyQSVZ",10.8584435608809
"Ybx1",3.3758361854412,11.429956750947,22.6876284046932,1.08004689513896e-05,0.0034140600016194,4.53048875496379,"PSVZbyQSVZ",10.3807313614634
"Racgap1",6.85749894852753,6.23610439632137,22.1587098981731,1.19615467528352e-05,0.00367304924931705,4.43238941242197,"PSVZbyQSVZ",115.961247482496
"Anp32b",2.51494725755213,12.244375530117,21.0652834648995,1.48889496758117e-05,0.00444378764674203,4.2187994580388,"PSVZbyQSVZ",5.71576759651804
"Chaf1b",4.81811944039813,5.67011976991541,20.9994921668607,1.50917189212453e-05,0.00444378764674203,4.20546057394817,"PSVZbyQSVZ",28.2097004311128
"LOC102634681",1.04691924804716,13.5082446504818,20.67745231693,1.61345923612281e-05,0.00466052150477359,4.13933498033006,"PSVZbyQSVZ",2.06611312560558
"Rpl35",2.0098877793631,12.8923691627423,20.640036606031,1.62614148805778e-05,0.00466052150477359,4.13156137123689,"PSVZbyQSVZ",4.02750890657812
"Knstrn",5.18281295583551,5.7481797895111,20.0671747073129,1.83649666680982e-05,0.00512962319167101,4.01011068114746,"PSVZbyQSVZ",36.3230377129563
"Nrm",6.97552546415348,6.0727252327979,20.0398895417566,1.84732504761714e-05,0.00512962319167101,4.00420992286591,"PSVZbyQSVZ",125.846864715448
"Elavl4",5.91514854266214,6.04376294929438,20.0046846707973,1.86141246313254e-05,0.00512962319167101,3.99658052211034,"PSVZbyQSVZ",60.3444231570375
"Rrm2",7.1227244671275,6.2945863485092,19.8480411977586,1.9257160007075e-05,0.00523965385255794,3.96241485176624,"PSVZbyQSVZ",139.36499882005
