"","NA.1","NA.10","NA.11","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.9","NA."
"A2M",5.88651379973268,5.54982919321238,4.71491817118303,6.54370108113989,6.01508806126449,6.49973833366287,5.88942248865322,4.61422568816139,4.05634766673665,5.85471320825997,3.93792305334455,5.58499845486349
"ABCA1",1.47674481831308,0.0861503738373692,0.203721188027329,0.775096881060076,2.17487498390012,0.586996895798037,1.58422250520583,1.02984543656767,0.120408536227296,0.143849408684297,0.182404489133794,0.596570456018212
"ABCA4",0.768088071685427,0.395312579629574,0.18423560681414,0.934632189076066,1.11055303805676,0.962178389809896,0.473809775573528,1.17292887727307,0.1666473059778,0.422222847160965,0.170780501508558,0.621641334736747
"ABCC3",0.445872436067643,1.81243462605344,0.279729615978351,2.55149811909712,1.70927334358309,2.43032769825653,0.759503951244347,1.66332097155776,0.273326265585646,1.86480682501775,0.376842057452757,1.51588606081103
"ABHD11-AS1",0,0.999887033729423,0,1.35328250606556,0,2.32754649308061,0,1.11077272948733,0,1.1896957888237,1.07474639432999,1.41694505739484
"ABHD17C",1.8524442706202,2.70217869768297,1.20687276015618,4.26895560750975,2.79394116475234,4.13541763843859,1.89491003560388,3.10585644667484,1.09613676950393,3.41556153101463,1.48923943502762,3.7976384550624
"ABHD2",3.10837203115557,2.21111860445779,2.26713304535657,3.20213994117866,3.14487765765718,3.00062938559297,2.76583748712067,2.53151224292689,2.13870761359289,2.45432262135334,2.09804614488924,2.77262187223464
"ABHD4",3.0512147217257,3.33594646806877,1.57904547748627,4.40925555210728,3.73217465302379,4.16736223378506,3.20702138843103,3.24864971490065,1.69401601400764,3.20303851716884,1.63753162250761,4.51706876409913
"ABTB1",2.13213842402172,4.67256893007163,2.12550575564337,6.27073988207127,3.61562383450128,6.31307050761024,3.19124966778845,4.53385065091469,1.13135683726764,4.70017126936875,2.01942433482113,5.22590868727478
"AC002069.1",1.17649186462222,0.976042174618718,1.26072776192767,1.00189663374905,2.22777152143234,1.78568670328209,1.41579124629457,0.805481109704893,0.77685900753047,0,1.80605530739646,0
"AC002069.2",0.499319568612509,0,1.67765697446354,0,1.05282400562829,0,0.907489754265654,0,0.554040322234159,0,0.554033126574521,0
"AC002384.1",3.89604351980098,3.55156064886365,2.31491553462448,4.92932224421135,4.61706471653651,4.39639810345008,3.9307396998973,2.28475452870134,1.63151875832253,3.99050674547778,3.10988779773012,4.0875994395864
"AC002451.1",1.06560125770808,0.762316432642753,0.522937054549563,0.757500640661196,1.24995964372721,0.702097461338237,1.06302015557005,0.807553585251714,0.747943556116915,0.275857223313738,0.68400649521146,0.515577253975225
"AC002519.2",0.593096201192728,1.29233760257459,0.471209964240376,1.43553087509516,0.647322137013136,1.64369151948659,0.206432998321475,1.51259096214768,0.318132491162183,1.40195313420268,0.269743168230567,1.10514047883291
"AC003084.1",1.93184706893028,0,0.458680589084525,0.291589325326897,1.3786962265316,0.132908419702367,0,0.875947784138909,0.309245254266098,0,0.639506640739236,0
"AC003965.1",0.65499036434027,0.526992528871241,0.327258809366652,1.76552792070988,0.457618520770259,2.05354021466319,0,1.24103350681787,0,0.190592855269798,0,0.181314580265172
"AC004233.4",1.46015295525099,1.88277153641723,2.68541515354669,1.4550605556124,0.649717523903104,0,0,0,0,0,0.580812715372243,0
"AC004771.3",0,2.59501313686527,1.45785547005786,3.20682186170304,0.400678091030082,2.33738702273538,0,3.00308850205984,0,1.55483108643011,0,0.940205746554516
