"","QSVZbyPSVZ","AveExpr","F","P.Value","adj.P.Val"
"Stk38l",4.86754114805284,5.43377057402642,13886.4647233165,8.32101851139645e-09,0.000126008538862972
"Trim34a",0.41503749927884,2.79248125036058,11007.9155921238,1.38055439581054e-08,0.000126008538862972
"Arhgap11a",-7.02914214020103,6.32192599215811,8749.48998808714,2.27706969585197e-08,0.000126008538862972
"Mycn",-8.19170475186184,6.68081487665208,8632.44156699698,2.34489023238841e-08,0.000126008538862972
"Melk",-6.23457642932652,5.70225071538442,7704.57916795039,3.00425968436528e-08,0.000129153123830863
"Cdc20",-4.98672979088033,5.07832739616132,4217.07627449439,1.11680469844318e-07,0.00032132818121655
"Mthfd1l",-4.81196971679608,5.06507816623134,3575.49044949723,1.59988800735882e-07,0.00032132818121655
"Cdc7",-5.67581806583294,5.64526395497407,3519.72738451328,1.65560534966745e-07,0.00032132818121655
"Ncapg2",-5.76586103071195,5.69028543741357,3484.42423983569,1.69235427249451e-07,0.00032132818121655
"Timeless",-7.74646962758861,6.37051917923753,3339.78911984094,1.85604280525049e-07,0.00032132818121655
"Ccnb1",-6.24772884570898,5.70882692357565,3240.28394849749,1.98241115791788e-07,0.00032132818121655
"Gyk",0.22239242133644,2.69615871138938,3160.6061591661,2.09285626286657e-07,0.00032132818121655
"Hs3st1",0.22239242133644,2.69615871138938,3160.6061591661,2.09285626286657e-07,0.00032132818121655
"Speer8-ps1",0.22239242133644,2.69615871138938,3160.6061591661,2.09285626286657e-07,0.00032132818121655
"Ube2c",-10.192864454248,8.08326045410966,2623.54062596768,3.1393969545234e-07,0.000378645106768059
"3010003L21Rik",-7.45594866901113,6.45128266831967,2618.73463670678,3.15195360518354e-07,0.000378645106768059
"Cenpf",-6.98880205831468,6.0793635298785,2616.1476054256,3.15874311607558e-07,0.000378645106768059
"2810004I08Rik",-4.55746623789718,4.86369561966975,2611.57745305323,3.17078944955807e-07,0.000378645106768059
"Spc24",-6.14281285908314,5.87876135159917,2390.84101770373,3.84287391934365e-07,0.000434750394191009
"Atp13a4",6.65335286571882,6.05990054780486,1883.14337734754,6.46054755134961e-07,0.000694347348081299
"Ckap2",-6.5584196809017,5.93830314828416,1798.61780386815,7.13943152742682e-07,0.000713045014540011
"Pbk",-8.80651977941605,7.20069903063428,1780.55183018371,7.2979717701234e-07,0.000713045014540011
"Casc5",-7.34018267455858,6.25505383800045,1642.41201347267,8.69960801390649e-07,0.000813035105473566
"Nptx2",-6.21912471736666,7.03736487274117,1570.57177590747,9.58848388127286e-07,0.000846423405831752
"Ptgds",4.49313363071797,11.2071896661238,1551.66454682819,9.84442202642187e-07,0.000846423405831752
"Ung",-8.2794369910493,6.79881180335795,1426.39523238404,1.18220757385202e-06,0.000944787248128136
"Cntrob",-3.13139882057144,4.6774961951837,1412.75679574195,1.20716505399938e-06,0.000944787248128136
"Xrn2",-1.94782310935543,8.82232888427644,1400.26374145824,1.23070681310015e-06,0.000944787248128136
"Tubb5",-4.7873001224759,10.2093842960249,1365.65569893431,1.29953049183404e-06,0.000963220962826642
"Gjb2",6.79281812909434,6.05550237238048,1316.86006732904,1.40650527411151e-06,0.0010077610289009
"Tspan7",2.61793532983951,12.5832483692507,1207.4190132419,1.69844797132049e-06,0.00117768190785594
"Bub1",-6.05175034452046,5.61083767298139,1155.03219607631,1.87033423665717e-06,0.00122059076521762
"Kif11",-7.7457563161,6.6802330801076,1154.02012587174,1.87390068630758e-06,0.00122059076521762
"Rab10os",0.591572720704452,7.95895167097644,1124.50235834846,1.98244147418607e-06,0.00125331116140087
"D17H6S56E-5",-4.90517927355173,5.03755213749703,1097.11060135382,2.09156883272054e-06,0.00126099001391964
"Gm10052",-3.08870609195884,11.9785790312063,1092.2331142962,2.11191628290798e-06,0.00126099001391964
"Baz1a",-5.44607301836872,5.30799900990552,1052.13020975937,2.29072668918606e-06,0.00133078838335282
"Hmmr",-6.05659626123458,5.61326063133845,1031.27687029279,2.39254933280813e-06,0.00134630407221239
"Aurkb",-5.59502650726534,5.38247575435383,1020.5416884909,2.44755841701381e-06,0.00134630407221239
"Marcks",-3.60002916741959,10.4310887182332,1009.63905378431,2.50533439816216e-06,0.00134630407221239
"Mcm2",-6.97023699616364,6.21834261302727,990.846856892836,2.6096925464392e-06,0.00136817905574904
"Ncapg",-7.1802278641501,7.28021016206228,919.556722267259,3.06912454540873e-06,0.0015384080709045
"Lig1",-6.73222515782087,6.35294080589608,916.631705601158,3.09043049920204e-06,0.0015384080709045
"Hnrnpab",-3.21678860913537,10.9146634310405,908.051860996137,3.15418586087663e-06,0.0015384080709045
"Sod3",6.60343577574419,6.46477754188254,894.499986830033,3.25886385300313e-06,0.0015384080709045
"Rarres1",3.73386477529723,4.45189488836978,890.311390419276,3.29224337109127e-06,0.0015384080709045
"Hsd11b1",6.51228920359123,6.91539691057167,830.108901709456,3.83265550900914e-06,0.00175282830140748
"Cd24a",-7.66635181063654,6.8066268571233,817.416976707843,3.96298998557706e-06,0.00177467645291623
"Lcat",8.54613465435112,7.33289881480847,776.83892378483,4.42598133146118e-06,0.00190946057211872
"Olig1",2.36778597106083,9.26713845782422,775.575642842831,4.44163892095538e-06,0.00190946057211872
"Myt1",-7.22510351519774,6.41990667965647,756.05201636818,4.6942598617442e-06,0.00197849246525866
"Cdk4",-5.6163478580906,8.7659098363345,703.868538814535,5.48203717406788e-06,0.00224196942184058
"P2rx4",4.19833697445101,5.86138292741202,701.163938319652,5.52800090056064e-06,0.00224196942184058
"Ccna2",-8.09491708320744,6.63242104232488,678.684485994425,5.93275903084192e-06,0.00232038358594601
"Mta2",-4.99698777987224,5.7741277321289,678.447911752975,5.93724574212749e-06,0.00232038358594601
"Smim3",6.01037348355378,5.66044816999759,662.053323830193,6.26064627671284e-06,0.00240308199496326
"Mcm6",-7.42698120957215,6.29845310550724,652.481021408515,6.46147782899744e-06,0.00243665729709298
"Dlx1",-8.09562835396853,6.91938412502267,635.431280352218,6.84320077302627e-06,0.00253611380372758
"Kalrn",5.57064320285537,7.29808530622487,627.239267626462,7.03839851675019e-06,0.00256424366300924
"Uhrf1",-7.85523616386555,6.51258058265393,607.399558772562,7.54614868008638e-06,0.00267891169206043
"Dhfr",-6.03685629448822,6.17520145883746,605.321397852679,7.60240117309544e-06,0.00267891169206043
"2810417H13Rik",-7.60973642958246,6.38983071551239,587.014091057557,8.12549485702066e-06,0.00279783195133084
"Hepacam",3.9278010178782,10.7827495145874,584.539452410158,8.20020530048118e-06,0.00279783195133084
"Dhrs7",4.84829103053734,7.44720840519582,558.848367050495,9.0387471374955e-06,0.00303574796438228
"Mdc1",-5.88210891524442,6.29561934939467,531.835683038073,1.00624218507647e-05,0.00329807429386057
"Ncaph2",-3.44074541829461,4.44368104296141,530.274434781201,1.01266761290904e-05,0.00329807429386057
"Scg3",2.47761152496547,12.533676729902,515.64404402226,1.07590000076768e-05,0.0034140600016194
"Ybx1",-3.3758361854412,11.429956750947,514.728482629442,1.08004689513896e-05,0.0034140600016194
"Cadm2",5.07858080424359,8.30663748930907,500.813141453234,1.14605354115201e-05,0.00357020592276267
"Racgap1",-6.85749894852753,6.23610439632137,491.008424351393,1.19615467528352e-05,0.00367304924931705
"Gpr62",2.71094694545271,3.94043597344752,450.246462869912,1.44280414167239e-05,0.00436803873595043
"Anp32b",-2.51494725755213,12.244375530117,443.746167456569,1.48889496758117e-05,0.00444378764674203
"Chaf1b",-4.81811944039813,5.67011976991541,440.978671266046,1.50917189212453e-05,0.00444378764674203
"LOC102634681",-1.04691924804716,13.5082446504818,427.557034318913,1.61345923612281e-05,0.00466052150477359
"Rpl35",-2.0098877793631,12.8923691627423,426.011111098301,1.62614148805778e-05,0.00466052150477359
"Knstrn",-5.18281295583551,5.7481797895111,402.691500733818,1.83649666680982e-05,0.00512962319167101
"Nrm",-6.97552546415348,6.0727252327979,401.597172845807,1.84732504761714e-05,0.00512962319167101
"Elavl4",-5.91514854266214,6.04376294929438,400.187408778031,1.86141246313254e-05,0.00512962319167101
"Rrm2",-7.1227244671275,6.2945863485092,393.944739387924,1.9257160007075e-05,0.00523965385255793
"Larp7",-7.55234821593392,6.79460158646736,388.598708177758,1.98339228305323e-05,0.00532912714052864
"Mis18bp1",-6.29930177484493,5.73461338814363,381.248003167726,2.06689820305689e-05,0.00536093260091946
"Hnrnpf",-1.94155359203741,10.8506003695519,380.514298229055,2.07551341988819e-05,0.00536093260091946
"Tlr3",5.97673354768203,5.85993672187941,378.894770948036,2.09471640385573e-05,0.00536093260091946
"Spc25",-7.24298768693821,6.5397896775236,378.549329983875,2.0988458721e-05,0.00536093260091946
