"","NPC","NSC"
"0610009B22Rik",8.01564246437609,7.44935646120934
"0610009L18Rik",1.72976491389488,1.5994851473167
"0610010F05Rik",2.09925518385781,1.6993608250788
"0610040B10Rik",3.37366347600677,2.28132983707652
"1010001B22Rik",5.67589889523705,4.35359207088128
"1110002L01Rik",1.9237764583314,1.6809693040638
"1110002O04Rik",1.08001299043919,0.440702218626608
"1110008F13Rik",1.44013861011595,1.05600467250107
"1110012L19Rik",6.77324656724776,5.8646933840785
"1110017D15Rik",2.44508471306648,0.806979106463867
"1110032A03Rik",5.05411389519418,4.04781711810377
"1110034G24Rik",2.32689778548588,1.75531697195194
"1110038B12Rik",7.42991006473869,5.93474790746974
"1110059E24Rik",3.2931260998286,2.85186767365642
"1110060G06Rik",0.879126837862408,0
"1110065P20Rik",2.17538307296434,1.31907962283254
"1190002N15Rik",3.06283679936556,1.59556165230591
"1190007I07Rik",5.15639716004251,4.48532690407985
"1300002E11Rik",3.88124405254899,3.06592886802695
"1300014J16Rik",1.12664223995499,0
"1300017J02Rik",1.3142779135311,0.245117751337731
"1500002C15Rik",1.02576806762829,0.340021596191455
"1500004A13Rik",1.8414357410188,1.41434885752264
"1500009C09Rik",4.98129353446452,3.86634686529112
"1500011B03Rik",5.28490133665168,4.00521775462317
"1500011K16Rik",8.78824858829999,8.22644577062221
"1500015O10Rik",4.71130568510319,1.42465315513616
"1500026H17Rik",2.16875100648612,0.881421556343892
"1600014C23Rik",1.61048212628481,0.337594545220472
"1600020E01Rik",2.20192791816035,1.47890887336422
"1600023N17Rik",1.22071548747229,0
"1700001L19Rik",1.41053578378503,0.520804007372692
"1700001O22Rik",1.20853279355562,0.62444670377036
"1700001P01Rik",1.76447946832701,0.158096081194915
"1700003E16Rik",1.69376100840609,0.586813697313105
"1700003M07Rik",1.55393625751174,0.836677711596713
"1700007K13Rik",1.10705583352207,0.385248209811485
"1700010K24Rik",1.45159132217073,0.487069448186863
"1700012D14Rik",1.78955381962756,1.53909642267104
"1700013F07Rik",1.38961806087155,0.584531128688891
"1700016J18Rik",3.01142115052696,1.04971923556105
"1700016P03Rik",0.701174082307514,0.321668082620025
"1700018G05Rik",0.79620730954711,0
"1700019D03Rik",2.57579356711429,1.99405075234718
"1700021N21Rik",1.84783837189141,0.0927247438277965
"1700022N22Rik",1.47695785764192,1.05389508016535
"1700023F06Rik",1.63431776101738,0.574453615881166
"1700027H10Rik",0.820960033354133,0.315475517603952
"1700027J19Rik",1.23594070457435,0.0787667827232751
"1700029J07Rik",2.01108998374622,0.96630164399667
"1700030J22Rik",1.63090112730077,0.892904619517341
"1700047M11Rik",3.77740639126899,0.731438557866093
"1700055D18Rik",1.08076420254256,0.275804615267965
"1700056N10Rik",2.34832130134172,1.40007529737811
"1700061G19Rik",1.60584393408214,1.3315224940736
"1700063D05Rik",1.30620934125199,0.380713303016892
"1700066J03Rik",0.982423057082058,0.592931857122053
"1700081N11Rik",1.3555389022926,0
"1700086L19Rik",2.26143125478788,1.47676247757821
"1700086P04Rik",0.992619137935689,0.554533622340041
"1700088E04Rik",1.50494960906311,1.18748755719963
"1700101I11Rik",1.04915196557102,0
"1700109H08Rik",2.76615880734796,2.28996821427346
"1700110C19Rik",1.20548511531927,0.336177840915414
"1700120C14Rik",0.889124084184529,0.66784846044301
"1700123O20Rik",7.13198751540243,6.21855645862744
"1700124L16Rik",1.05824836087144,0.15803841904609
"1810007C17Rik",0.63614561818585,0.4114291511406
"1810010H24Rik",3.04417182624365,2.33254314476617
"1810022K09Rik",6.96552665084458,6.60596153420683
"1810032O08Rik",3.79232894132774,1.58877684455766
"1810037I17Rik",9.97916092937356,9.53859061928353
"1810041H14Rik",1.65441987790334,0.531554689993174
"2010001A14Rik",3.06296133970147,2.23895981961171
"2010109A12Rik",1.16597862466146,0.325022182592013
