"","NPCbyNSC","AveExpr","F","P.Value","adj.P.Val"
"Nhlh1",5.1180587069437,2.90809385114275,562.203740995089,1.18308771685342e-09,1.6505256737822e-05
"Stmn2",5.01708974469843,3.07503646593796,391.563238957234,6.20238617944917e-09,4.32647447947477e-05
"Calb2",5.48044759396241,3.85276794393315,348.29675946826,1.05776512835866e-08,4.91896043524388e-05
"Nhlh2",3.88100804448402,2.30654819494439,200.807951490312,1.27276320539143e-07,0.000312128461230025
"Neurod2",3.9279024728987,2.88939453341687,193.196072650281,1.51282382462473e-07,0.000312128461230025
"Gal",5.12725813433665,2.65831967447177,191.795889772842,1.5627872751542e-07,0.000312128461230025
"Mmp9",-5.64805446999315,4.3773806695255,179.957813349759,2.07639365376679e-07,0.000312128461230025
"Cldn3",5.65045753287478,3.12511071525889,177.388061168784,2.21371716324294e-07,0.000312128461230025
"Id2",2.94938951911802,9.48701900062384,177.254198232337,2.22116822378757e-07,0.000312128461230025
"Gpx3",-4.65424196815774,6.51973787301251,176.965891374331,2.23731962748208e-07,0.000312128461230025
"Rarres2",3.78982667067598,4.56589499069811,157.434274130857,3.75972750926625e-07,0.00047683598619794
"Tac2",5.23595954435989,3.69982320456105,149.360977009935,4.74460588185224e-07,0.000551599972147671
"C1qc",-4.69404945404678,7.80579557889962,141.487718134176,6.02349170339398e-07,0.000646413328877303
"Nacad",2.8387519064906,1.59468444772895,138.726753814029,6.5688494454605e-07,0.000654585847240139
"Ass1",2.771896946289,3.11485019959853,133.331203113505,7.81865083079127e-07,0.000666044139096029
"I830077J02Rik",-3.0759214365669,1.85058183971551,128.706030286381,9.12646227229316e-07,0.000666044139096029
"Dusp14",2.95017783984828,3.36190949304206,127.285426970993,9.5805207924756e-07,0.000666044139096029
"Kcnk6",-3.1168487224355,1.94666362670421,125.069307994877,1.03449609332659e-06,0.000666044139096029
"Frzb",3.89956555504153,2.69091926679387,122.919044692828,1.11586391189816e-06,0.000666044139096029
"Sema3c",2.39717699168784,1.46774757845157,120.77804082563,1.2047345241884e-06,0.000666044139096029
"Neurod6",5.10042439524342,4.17153534589552,120.400479970065,1.22128603229501e-06,0.000666044139096029
"Cd53",-4.12493151572178,4.97747624825497,118.398486092533,1.31381127140377e-06,0.000666044139096029
"Cd4",-3.17131611809744,1.74713778253279,117.123356679901,1.37719583628736e-06,0.000666044139096029
"Ifitm6",-3.80501871809406,2.1470562995458,116.356429119279,1.41710936122503e-06,0.000666044139096029
"Tbr1",3.37404916220301,2.12277135066102,116.263211021873,1.42205594870321e-06,0.000666044139096029
"Ifi202b",-3.18717290037072,1.90397559153646,115.617180245396,1.45691979209803e-06,0.000666044139096029
"Cd200",3.14336452767271,3.16681205019202,115.430919239716,1.46716380899103e-06,0.000666044139096029
"Cd24a",4.67100438329924,5.91444320224334,115.059169300145,1.48787218481702e-06,0.000666044139096029
"C1qa",-4.35644296460197,7.86680684599644,115.056338044455,1.48803125742936e-06,0.000666044139096029
"Rnase12",-2.84845021272116,1.62033865727499,114.917526102518,1.49585572765834e-06,0.000666044139096029
"Trem2",-3.57560425983104,4.64093578133991,114.879843643984,1.49798840798151e-06,0.000666044139096029
"Myo1g",-2.41922121598052,1.39204590319272,114.360967838482,1.52773367149831e-06,0.000666044139096029
"Scrg1",2.83749699405158,5.20860856167314,111.291492173176,1.71914562269109e-06,0.000726781835823132
"Clec4a1",-4.09152794268163,4.32730412756815,109.132125173627,1.8714208382557e-06,0.000734551663033109
"Odf3b",2.69642111826191,1.4518268470653,108.375768481861,1.92860043124962e-06,0.000734551663033109
"Unc93b1",-4.00926768135989,5.48588880099041,107.647905120853,1.98564151907713e-06,0.000734551663033109
"Pcp4",2.18746433943453,1.68781653341396,107.626308651629,1.98736506143344e-06,0.000734551663033109
"Clec4n",-4.40729133924748,3.30456577514609,107.458917007278,2.00078583580089e-06,0.000734551663033109
"Pla2g16",2.3753614149036,3.73450602193746,106.561561296454,2.07463825951221e-06,0.000742135342524483
"Lst1",-4.19533979322308,5.0048837531184,105.810599435749,2.1390000781691e-06,0.000746029752263429
"Tnfrsf1b",-3.23399068568021,2.03782795542857,104.445317561906,2.2623428867259e-06,0.0007672521725535
"Prdm8",3.03467119539102,1.80570298858171,103.854740349535,2.31836519830649e-06,0.0007672521725535
"Siglec1",-3.20219474485524,2.44781716697603,102.730409439272,2.42975196903967e-06,0.0007672521725535
"Cd48",-3.82832522206781,2.76040733880986,102.336551546,2.47030160820386e-06,0.0007672521725535
"Nrep",2.57057543742496,6.06348179376538,102.293058991265,2.47482960109723e-06,0.0007672521725535
"Cd36",-3.44240548544212,2.10661554757213,100.677694780287,2.65037895743409e-06,0.000794002734854499
"Tnfaip8l2",-4.00551736155709,6.44508895245015,100.462048480158,2.67494291005386e-06,0.000794002734854499
"Neurl3",-3.07597918553103,2.19264899184578,98.9573914246663,2.85425513783635e-06,0.000816441900914708
"Gm11681",2.37140215044876,3.34325304033382,98.8501589852749,2.86758319438181e-06,0.000816441900914708
"Slc22a4",2.41819400306596,1.88768386825163,97.6170065196876,3.02642110957144e-06,0.000844432017992622
"Hk3",-4.0775102553885,3.47595242960544,96.1900857396817,3.22377001535023e-06,0.000881859127140216
"Id4",2.51372064312712,6.77862063140579,94.9097881948177,3.41428863303657e-06,0.000899767682399158
"Gm29291",-3.84300529515555,2.24907372078309,94.884242518619,3.41822716415707e-06,0.000899767682399158
"Mrc1",-4.69077878090775,4.33524659362896,94.095603242928,3.54257703714935e-06,0.000904755799636324
"Tlr7",-4.02761990671108,3.10865849339815,93.9453860383744,3.56688187083347e-06,0.000904755799636324
"Adgre1",-4.20407056638594,3.16103776489047,93.3685862546326,3.66210914558774e-06,0.000907389542524691
"Igfbp4",-3.49368922900705,3.44970618217229,92.8711916646829,3.74671630866896e-06,0.000907389542524691
"Ptafr",-4.84469367074191,3.92523568656742,92.6434683207243,3.78624371431262e-06,0.000907389542524691
"1500015O10Rik",3.28665252996703,3.06797942011968,92.3528316349508,3.83742979062123e-06,0.000907389542524691
"Slc30a10",2.3488518418499,1.68350414455555,91.7938347047448,3.93826251300473e-06,0.000915711671982151
"Slc11a1",-4.20123338073008,3.56643648151269,91.2209647415388,4.04495638595618e-06,0.000919476070157905
"Gpr160",-3.0207917095867,1.88351801348865,91.0040630745194,4.08626738941941e-06,0.000919476070157905
"Nkain4",3.08137258182959,5.06999678750291,90.1994962279686,4.24405031465512e-06,0.000939821364123073
"Cybb",-4.25266361294334,3.09696678693393,89.7863481392855,4.32794613213136e-06,0.000943424632646322
"Mir124a-1hg",3.40269710725288,1.74562481174844,89.2243527172657,4.44532598805953e-06,0.000954103736298746
"Gm5431",-3.67343394280092,2.39750368584867,88.7243899503741,4.55301383903351e-06,0.00096241054649025
"Tbata",1.93911362071234,0.977584232821765,87.2307338694131,4.89415066046235e-06,0.00100039106866816
"Hfe",-3.30438823627112,5.0608390315325,86.7960658485489,4.9992041539216e-06,0.00100039106866816
"Gm12250",-3.00527320975878,3.83731952980875,86.7011506578522,5.02250700353139e-06,0.00100039106866816
"Naaa",2.70464514809074,5.13572612882517,86.4502200809974,5.08475196655542e-06,0.00100039106866816
"Pdlim3",2.47825285222947,1.3870707665299,86.4243147987903,5.09123115729619e-06,0.00100039106866816
"Tubb6",-2.73017568370092,5.90498430802424,85.7950219716782,5.25174951714284e-06,0.00101759940991194
"Maf",-4.1720290199143,5.89129976866451,85.3993040810835,5.35583999278553e-06,0.00102355237999111
"Aif1",-4.14777242621447,6.0583359177658,84.9372119633471,5.48057977494394e-06,0.00103323741135463
"Pla2g2d",-5.20621045031088,5.16067349099718,84.1298963874354,5.70709248178745e-06,0.00105084646495921
"Arhgap45",-3.21530820868697,2.19658269318803,83.8439083667721,5.79005080252893e-06,0.00105084646495921
"Lyz2",-4.14184233422097,9.84184303443577,83.7248346867999,5.82502271362254e-06,0.00105084646495921
"1700047M11Rik",3.0459678334029,2.25442247456754,83.5477836369207,5.87749819686557e-06,0.00105084646495921
"Ncf4",-2.58697872089926,1.65424965156672,83.3043029023121,5.9506035934182e-06,0.00105084646495921
"Tspan15",2.20326522405673,2.6110161966271,82.8790557610726,6.08095239192024e-06,0.00105382440487398
"Fam159b",1.88732405958575,1.69841096597204,82.758478045409,6.11854181024964e-06,0.00105382440487398
"C1qb",-4.62671383549109,8.93033671105481,81.8515149581389,6.41051650063204e-06,0.00108961332425533
"Dixdc1",2.05942527073712,2.06460169615693,81.6354878547952,6.4825393099557e-06,0.00108961332425533
"Slfn2",-3.2839351624406,2.76771618947038,81.3672443478034,6.57334389191392e-06,0.00109172286471537
"Pnck",2.16636836055243,5.18112241139835,80.7004585099356,6.80584166621316e-06,0.00111703878923929
"Fxyd1",2.30910702567439,6.63685259800317,80.1797117867316,6.99439148135672e-06,0.00113463669251637
"Fabp3",3.21905214445771,2.28130671921869,79.3473369261588,7.30913434843715e-06,0.00117206589994306
"Tyrobp",-4.01110957840979,7.99092304134873,78.7653924192051,7.53943390372868e-06,0.0011952572998968
"Cd200r1",-3.416045463309,2.33180759767899,78.3573485128959,7.70618242101963e-06,0.00120796574107466
"Tgfbi",-3.77613616295822,4.0827098467675,76.8813059434183,8.34802209203099e-06,0.00127814050822098
"Cd209g",-5.02585411171623,6.34968814243905,76.7210228623033,8.4215615005554e-06,0.00127814050822098
"Pik3cg",-3.92565663737254,2.76065935880646,76.7055340329453,8.42870953740453e-06,0.00127814050822098
"P2rx7",-2.4210525338678,3.59501813879783,76.4708434288102,8.537925513774e-06,0.00128078063271679
"Adra2c",2.07190952219586,1.03595476109793,76.144578520969,8.69262735011533e-06,0.00129011536341978
"Opn1sw",2.58739547702543,1.70097441754036,75.7406164926179,8.88891570839222e-06,0.00129530031502933
"Abca8a",2.3239439797706,1.60400381531981,75.5527794117599,8.98201929477667e-06,0.00129530031502933
"Ctsc",-4.47391703367615,5.38925540234843,75.2491173894535,9.13505146542292e-06,0.00129530031502933
"Serping1",3.50323158879532,4.66813575216018,75.1606073615955,9.18025141621763e-06,0.00129530031502933
"Fcer1g",-4.55693484548051,7.5754685702612,75.138087797569,9.19179493856378e-06,0.00129530031502933
"Tspan2",3.47205831174815,3.38023092149511,74.8755761775987,9.32766767381963e-06,0.00130130291717458
"Csf1r",-4.84965959403626,6.55173633963418,74.0561688366989,9.76776292037377e-06,0.00134920851982311
"Peg12",-2.4910615302117,5.88240864562402,73.7525634993049,9.93720474221519e-06,0.00135532921835202
