"","Gene","Category"
"1","RBM3","PGBCbyQGBC"
"2","HMGN2P17","PGBCbyQGBC"
"3","PHLDA2","PGBCbyQGBC"
"4","RNU6-307P","PGBCbyQGBC"
"5","COTL1","PGBCbyQGBC"
"6","PSMC3","PGBCbyQGBC"
"7","CTPS1","PGBCbyQGBC"
"8","HSD17B10","PGBCbyQGBC"
"9","DEPDC1","PGBCbyQGBC"
"10","TFDP1","PGBCbyQGBC"
"11","MANF","PGBCbyQGBC"
"12","MCM2","PGBCbyQGBC"
"13","FZD6","PGBCbyQGBC"
"14","PIF1","PGBCbyQGBC"
"15","RPN2","PGBCbyQGBC"
"16","NDN","PGBCbyQGBC"
"17","LY6E","PGBCbyQGBC"
"18","MCM6","PGBCbyQGBC"
"19","SYNCRIP","PGBCbyQGBC"
"20","SHCBP1","PGBCbyQGBC"
"21","CENPW","PGBCbyQGBC"
"22","SPDL1","PGBCbyQGBC"
"23","AURKA","PGBCbyQGBC"
"24","AL031985.3","PGBCbyQGBC"
"25","THBS1","PGBCbyQGBC"
"26","FAM83D","PGBCbyQGBC"
"27","AC126474.1","PGBCbyQGBC"
"28","PSMA4","PGBCbyQGBC"
"29","TUSC1","PGBCbyQGBC"
"30","FIBIN","PGBCbyQGBC"
"31","ZWINT","PGBCbyQGBC"
"32","RRM1","PGBCbyQGBC"
"33","KLHL9","PGBCbyQGBC"
"34","FAT1","PGBCbyQGBC"
"35","SRSF3","PGBCbyQGBC"
"36","COL1A2","PGBCbyQGBC"
"37","COMMD4","PGBCbyQGBC"
"38","MPHOSPH6","PGBCbyQGBC"
"39","AL136116.3","PGBCbyQGBC"
"40","NCAPG","PGBCbyQGBC"
"41","CDC6","PGBCbyQGBC"
"42","BZW1","PGBCbyQGBC"
"43","SKA1","PGBCbyQGBC"
"44","KIF23","PGBCbyQGBC"
"45","SNRPD1","PGBCbyQGBC"
"46","COL1A1","PGBCbyQGBC"
"47","CEP55","PGBCbyQGBC"
"48","NACA3P","PGBCbyQGBC"
"49","NCL","PGBCbyQGBC"
"50","HMGN2","PGBCbyQGBC"
"51","HMMR","PGBCbyQGBC"
"52","MARVELD1","PGBCbyQGBC"
"53","DHFR","PGBCbyQGBC"
"54","EFEMP1","PGBCbyQGBC"
"55","C4orf48","PGBCbyQGBC"
"56","IGFBP4","PGBCbyQGBC"
"57","JPT1","PGBCbyQGBC"
"58","TMEM18","PGBCbyQGBC"
"59","SDF2L1","PGBCbyQGBC"
"60","CYB561","PGBCbyQGBC"
"61","SRPX2","PGBCbyQGBC"
"62","NCAPH","PGBCbyQGBC"
"63","CCT8","PGBCbyQGBC"
"64","MFAP2","PGBCbyQGBC"
"65","RMI1","PGBCbyQGBC"
"66","CSRP1","PGBCbyQGBC"
"67","FOXD1","PGBCbyQGBC"
"68","SERPINB8","PGBCbyQGBC"
"69","MYADM","PGBCbyQGBC"
"70","MYL6","PGBCbyQGBC"
"71","HMGN2P8","PGBCbyQGBC"
"72","DMRTA2","PGBCbyQGBC"
"73","H2AFX","PGBCbyQGBC"
"74","PDIA3","PGBCbyQGBC"
"75","KDELC2","PGBCbyQGBC"
"76","TUBBP1","PGBCbyQGBC"
"77","LDHA","PGBCbyQGBC"
"78","TMEM237","PGBCbyQGBC"
"79","F8A3","PGBCbyQGBC"
"80","MTATP6P2","PGBCbyQGBC"
"81","CH25H","PGBCbyQGBC"
"82","RPL12P38","PGBCbyQGBC"
"83","KPNA2","PGBCbyQGBC"
"84","CIP2A","PGBCbyQGBC"
"85","LMAN1","PGBCbyQGBC"
"86","FBXO5","PGBCbyQGBC"
"87","ENC1","PGBCbyQGBC"
"88","FN1","PGBCbyQGBC"
"89","ANXA6","PGBCbyQGBC"
"90","PDIA6","PGBCbyQGBC"
"91","TRAM1L1","PGBCbyQGBC"
"92","FBLN1","PGBCbyQGBC"
"93","VCAM1","PGBCbyQGBC"
"94","TRIP13","PGBCbyQGBC"
"95","SMC1A","PGBCbyQGBC"
"96","NR0B1","PGBCbyQGBC"
"97","GINS2","PGBCbyQGBC"
"98","TXNDC17","PGBCbyQGBC"
"99","ENY2","PGBCbyQGBC"
"100","ID2","PGBCbyQGBC"
"101","SKA3","PGBCbyQGBC"
"102","CLDN23","PGBCbyQGBC"
"103","CMTR2","PGBCbyQGBC"
"104","HNRNPAB","PGBCbyQGBC"
"105","LDHB","PGBCbyQGBC"
"106","LAYN","PGBCbyQGBC"
"107","ARMT1","PGBCbyQGBC"
"108","EDIL3","PGBCbyQGBC"
"109","MCM3","PGBCbyQGBC"
"110","PBK","PGBCbyQGBC"
"111","IFI44","PGBCbyQGBC"
"112","DSN1","PGBCbyQGBC"
"113","TIMM21","PGBCbyQGBC"
"114","YWHAB","PGBCbyQGBC"
"115","EIF5A","PGBCbyQGBC"
"116","PMAIP1","PGBCbyQGBC"
"117","GGH","PGBCbyQGBC"
"118","POLE4","PGBCbyQGBC"
"119","TP53RK","PGBCbyQGBC"
"120","N6AMT1","PGBCbyQGBC"
"121","CDCA8","PGBCbyQGBC"
"122","COL6A3","PGBCbyQGBC"
"123","AMIGO2","PGBCbyQGBC"
"124","ATL3","PGBCbyQGBC"
"125","AL031729.1","PGBCbyQGBC"
"126","MT1E","PGBCbyQGBC"
"127","SORBS3","PGBCbyQGBC"
"128","MCM4","PGBCbyQGBC"
"129","TUBB6","PGBCbyQGBC"
"130","MZT1","PGBCbyQGBC"
"131","SELENBP1","PGBCbyQGBC"
"132","ZNF518B","PGBCbyQGBC"
"133","MAP1A","PGBCbyQGBC"
"134","SHOX2","PGBCbyQGBC"
"135","ARSD","PGBCbyQGBC"
"136","ANKRD1","PGBCbyQGBC"
"137","CAPG","PGBCbyQGBC"
"138","SLFN5","PGBCbyQGBC"
"139","TPBG","PGBCbyQGBC"
"140","TIMELESS","PGBCbyQGBC"
"141","PLOD1","PGBCbyQGBC"
"142","CSE1L","PGBCbyQGBC"
